bikeid,max_tripduration,min_tripduration,average_tripduration
3792,7750.00,141.00,1164.70
3463,55885.00,189.00,2958.91
2767,4420.00,155.00,909.03
3404,1828.00,151.00,791.60
2630,4466.00,100.00,803.96
252,4569.00,130.00,974.03
1943,2193.00,312.00,743.25
6168,5558.00,156.00,1166.26
2410,3962.00,230.00,976.50
835,8841.00,209.00,1327.42
249,1799.00,233.00,636.09
4793,3169.00,134.00,869.85
3202,3064.00,140.00,815.45
4387,7859.00,311.00,1322.43
152,6028.00,146.00,958.27
1325,2640.00,234.00,781.04
1355,5628.00,188.00,970.83
5882,6060.00,124.00,1016.47
164,3257.00,129.00,667.72
1473,6181.00,130.00,1041.68
4595,5697.00,204.00,1343.64
4295,1100.00,176.00,497.50
6420,2192.00,198.00,721.30
2879,5349.00,161.00,1228.44
3839,4957.00,138.00,1053.03
4901,6806.00,123.00,1054.51
2313,7497.00,126.00,1253.72
3583,4037.00,159.00,782.34
2698,3312.00,90.00,749.14
5438,2429.00,165.00,788.07
4681,7193.00,132.00,1273.66
6301,2499.00,140.00,861.69
2808,12457.00,157.00,1104.71
1650,6978.00,91.00,1260.56
3829,11168.00,107.00,1267.53
1910,6813.00,242.00,1277.00
3481,2905.00,158.00,798.11
4956,1407.00,200.00,642.70
3206,4229.00,93.00,897.51
1936,8633.00,123.00,1235.64
1824,6100.00,113.00,1302.16
178,2772.00,159.00,1040.35
58,2060.00,193.00,841.45
6245,3104.00,186.00,970.97
5550,5516.00,158.00,1006.50
6144,7004.00,140.00,872.69
1908,4412.00,200.00,921.95
4948,5884.00,174.00,1025.24
1588,6517.00,75.00,1063.00
3076,3883.00,96.00,855.82
6198,3696.00,110.00,1005.54
681,5238.00,85.00,1032.17
6249,2205.00,193.00,774.70
2066,2024.00,123.00,759.43
3594,556.00,556.00,556.00
2286,11270.00,139.00,1436.55
289,6067.00,234.00,1506.65
6231,4596.00,83.00,927.08
57,2264.00,187.00,829.61
550,2363.00,258.00,927.85
4998,5867.00,192.00,1290.66
1059,1893.00,236.00,859.18
1686,3095.00,175.00,775.25
1468,4523.00,81.00,894.17
2661,5025.00,135.00,824.78
2709,3579.00,115.00,1112.28
1665,4483.00,134.00,783.33
5296,5731.00,129.00,1066.64
5546,5030.00,181.00,764.38
6163,7403.00,135.00,919.10
4847,13720.00,103.00,1383.07
